"id"	"name"	"domain"	"basket"	"subbasket"	"targetFamily"	"chemStructure"	"comment"
"DCLA-000037"	"Aminopeptidase inhibitor"	"antineoplastic"					
"DCLA-000043"	"CD19 antibody"	"antineoplastic"				"antibody"	
"DCLA-000046"	"CD22 antibody"	"antineoplastic"				"antibody"	
"DCLA-000047"	"CD27 antibody"	"antineoplastic"				"antibody"	
"DCLA-000051"	"CD37 antibody"	"antineoplastic"				"antibody"	
"DCLA-000307"	"CD46 antibody"	"antineoplastic"				"antibody"	
"DCLA-000054"	"CD79B antibody"	"antineoplastic"				"antibody"	
"DCLA-000044"	"CD194 antibody"	"antineoplastic"				"antibody"	
"DCLA-000057"	"DKK1 antibody"	"antineoplastic"				"antibody"	
"DCLA-000059"	"EpCAM antibody"	"antineoplastic"				"antibody"	
"DCLA-000062"	"GD2 antibody"	"antineoplastic"				"antibody"	
"DCLA-000071"	"KIR antibody"	"antineoplastic"				"antibody"	
"DCLA-000078"	"P-selectin antibody"	"antineoplastic"				"antibody"	
"DCLA-000082"	"PS antibody"	"antineoplastic"				"antibody"	
"DCLA-000089"	"VEGFR antibody"	"antineoplastic"				"antibody"	
"DCLA-000113"	"Calcineurin inhibitor"	"antineoplastic"					
"DCLA-000169"	"Microtubule inhibitor"	"antineoplastic"					
"DCLA-000174"	"PAR1 inhibitor"	"antineoplastic"					
"DCLA-000194"	"Purine nucleoside phosphorylase (PNP)  inhibitor"	"antineoplastic"					
"DCLA-000200"	"Retinoid"	"antineoplastic"					
"DCLA-000214"	"Telomerase inhibitor"	"antineoplastic"					
"DCLA-000232"	"XPO1 inhibitor"	"antineoplastic"				"small molecule"	
"DCLA-000008"	"AKT inhibitor"	"antineoplastic"	"pi3k-akt-mtor"		"AKT"	"small molecule"	
"DCLA-000020"	"MTOR inhibitor"	"antineoplastic"	"pi3k-akt-mtor"			"small molecule"	
"DCLA-000021"	"MTORC1 inhibitor"	"antineoplastic"	"pi3k-akt-mtor"			"small molecule"	
"DCLA-000023"	"MTORC1/MTORC2 inhibitor"	"antineoplastic"	"pi3k-akt-mtor"			"small molecule"	
"DCLA-000022"	"MTORC2 inhibitor"	"antineoplastic"	"pi3k-akt-mtor"			"small molecule"	
"DCLA-000183"	"PI3K alpha inhibitor"	"antineoplastic"	"pi3k-akt-mtor"		"PI3K"	"small molecule"	
"DCLA-000184"	"PI3K delta inhibitor"	"antineoplastic"	"pi3k-akt-mtor"		"PI3K"	"small molecule"	
"DCLA-000185"	"PI3K gamma inhibitor"	"antineoplastic"	"pi3k-akt-mtor"		"PI3K"	"small molecule"	
"DCLA-000186"	"PI3K inhibitor"	"antineoplastic"	"pi3k-akt-mtor"		"PI3K"	"small molecule"	
"DCLA-000004"	"PI3K/AKT/MTOR inhibitor"	"antineoplastic"	"pi3k-akt-mtor"			"small molecule"	
"DCLA-000218"	"TSC1 inhibitor"	"antineoplastic"	"pi3k-akt-mtor"		"TSC"	"small molecule"	
"DCLA-000219"	"TSC2 inhibitor"	"antineoplastic"	"pi3k-akt-mtor"		"TSC"	"small molecule"	
"DCLA-000009"	"ALK inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000058"	"EGFR antibody"	"antineoplastic"	"tk"		"ERBB"	"antibody"	
"DCLA-000253"	"EGFR/ERBB3 antibody"	"antineoplastic"	"tk"		"ERBB"	"bispecific antibody"	
"DCLA-000359"	"EGFR/ERBB2 inhibitor"	"antineoplastic"	"tk"		"ERBB"	"small molecule"	
"DCLA-000258"	"ERBB2/ERBB3 antibody"	"antineoplastic"	"tk"		"ERBB"	"bispecific antibody"	
"DCLA-000263"	"ERBB3 antibody"	"antineoplastic"	"tk"		"ERBB"	"antibody"	
"DCLA-000240"	"FGFR2b antibody"	"antineoplastic"	"tk"		"FGFR"	"antibody"	
"DCLA-000256"	"FGFR3 antibody"	"antineoplastic"	"tk"		"FGFR"	"antibody"	
"DCLA-000064"	"HER2 antibody"	"antineoplastic"	"tk"		"ERBB"	"antibody"	
"DCLA-000065"	"HGF antibody"	"antineoplastic"	"tk"			"antibody"	
"DCLA-000067"	"IGF-1R antibody"	"antineoplastic"	"tk"			"antibody"	
"DCLA-000040"	"Met antibody"	"antineoplastic"	"tk"			"antibody"	
"DCLA-000081"	"PDGFRA antibody"	"antineoplastic"	"tk"		"PDGFR"	"antibody"	
"DCLA-000088"	"VEGF antibody"	"antineoplastic"	"tk"		"VEGFR"	"antibody"	
"DCLA-000107"	"AXL inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000109"	"BCR-ABL inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000112"	"BTK inhibitor"	"antineoplastic"	"tk"			"small molecule"	
"DCLA-000120"	"CSF1R inhibitor"	"antineoplastic"	"tk"			"small molecule"	
