"id"	"agency"	"date"	"id_drugProduct"	"url"	"comment"
"DPAP-000001"	"EMA"	"2021-12-15"	"Padcev"	"https://www.esmo.org/oncology-news/ema-recommends-granting-a-marketing-authorisation-for-enfortumab-vedotin-for-the-treatment-of-urothelial-cancer"	"Unklar, ob bereits zugelassen, oder nur gebahnt.


"
"DPAP-000002"	"FDA"	"2021-07-15"	"Padcev"	"https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-regular-approval-enfortumab-vedotin-ejfv-locally-advanced-or-metastatic-urothelial-cancer"	
"DPAP-000003"	"FDA"	"2022-06-09"	"Trodelvy"	"https://www.onclive.com/view/fda-approves-sacituzumab-govitecan-for-advanced-urothelial-cancer"	
"DPAP-000004"	"FDA"	"2021-04-15"	"Trodelvy"	"https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-regular-approval-sacituzumab-govitecan-triple-negative-breast-cancer"	
"DPAP-000005"	"FDA"	"2022-01-26"	"Kimmtrak"	"https://ir.immunocore.com/news-releases/news-release-details/immunocore-announces-fda-approval-kimmtrakr-tebentafusp-tebn"	
"DPAP-000012"	"FDA"	"2011-01-01"	"Adcetris"	"https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/125388s100lbl.pdf"	
"DPAP-000013"	"FDA"	"2011-01-01"	"Adcetris"	"https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/125388s100lbl.pdf"	
"DPAP-000011"	"FDA"	"2018-01-01"	"Xospata"	"https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/211349s003lbl.pdf"	
"DPAP-000006"	"FDA"	"2015-01-01"	"Alecensa"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/208434s012lbl.pdf"	
"DPAP-000007"	"FDA"	"2014-01-01"	"Blincyto"	"https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125557s021lbl.pdf"	
"DPAP-000008"	"FDA"	"2012-01-01"	"Kyprolis"	"https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/202714s034lbl.pdf"	
"DPAP-000009"	"FDA"	"2021-01-01"	"Lumakras"	"https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/202714s034lbl.pdf"	
"DPAP-000010"	"FDA"	"2012-01-01"	"Xtandi"	"https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/203415s019,213674s006lbl.pdf"	
