"id_drugClass"	"id_drugTarget"
"DCLA-000037"	
"DCLA-000043"	"DTAR-002539"
"DCLA-000046"	"DTAR-002540"
"DCLA-000047"	"DTAR-002542"
"DCLA-000051"	"DTAR-002547"
"DCLA-000054"	"DTAR-002566"
"DCLA-000044"	"DTAR-002495"
"DCLA-000057"	"DTAR-004301"
"DCLA-000059"	"DTAR-004995"
"DCLA-000062"	
"DCLA-000071"	
"DCLA-000078"	
"DCLA-000082"	
"DCLA-000089"	
"DCLA-000113"	
"DCLA-000169"	
"DCLA-000173"	
"DCLA-000174"	
"DCLA-000194"	
"DCLA-000200"	
"DCLA-000214"	
"DCLA-000224"	"DTAR-017636"
"DCLA-000232"	"DTAR-018343"
"DCLA-000008"	"DTAR-000525"
"DCLA-000008"	"DTAR-000527"
"DCLA-000008"	"DTAR-000528"
"DCLA-000020"	"DTAR-009999"
"DCLA-000021"	"DTAR-009999"
"DCLA-000021"	"DTAR-014060"
"DCLA-000021"	"DTAR-009631"
"DCLA-000021"	"DTAR-000526"
"DCLA-000021"	"DTAR-004199"
"DCLA-000023"	"DTAR-009999"
"DCLA-000023"	"DTAR-014060"
"DCLA-000023"	"DTAR-009631"
"DCLA-000023"	"DTAR-000526"
"DCLA-000023"	"DTAR-004199"
"DCLA-000023"	"DTAR-013732"
"DCLA-000023"	"DTAR-012881"
"DCLA-000023"	"DTAR-012882"
"DCLA-000022"	"DTAR-009999"
"DCLA-000022"	"DTAR-009631"
"DCLA-000022"	"DTAR-004199"
"DCLA-000022"	"DTAR-013732"
"DCLA-000022"	"DTAR-009236"
"DCLA-000022"	"DTAR-017560"
"DCLA-000022"	"DTAR-005142"
"DCLA-000022"	"DTAR-012881"
"DCLA-000022"	"DTAR-012882"
"DCLA-000183"	"DTAR-012139"
"DCLA-000184"	"DTAR-012141"
"DCLA-000185"	"DTAR-012142"
"DCLA-000186"	"DTAR-012135"
"DCLA-000186"	"DTAR-012141"
"DCLA-000186"	"DTAR-012142"
"DCLA-000004"	
"DCLA-000218"	"DTAR-017440"
"DCLA-000219"	"DTAR-017441"
"DCLA-000009"	"DTAR-000571"
"DCLA-000058"	"DTAR-004777"
"DCLA-000240"	"DTAR-019236"
"DCLA-000064"	"DTAR-005042"
"DCLA-000065"	"DTAR-007030"
"DCLA-000067"	"DTAR-007485"
"DCLA-000040"	"DTAR-009459"
"DCLA-000081"	"DTAR-011868"
"DCLA-000088"	"DTAR-018040"
"DCLA-000107"	"DTAR-001345"
"DCLA-000109"	"DTAR-019235"
"DCLA-000112"	"DTAR-001702"
"DCLA-000120"	"DTAR-003641"
"DCLA-000122"	"DTAR-004075"
"DCLA-000122"	"DTAR-004076"
"DCLA-000031"	"DTAR-004777"
"DCLA-000032"	"DTAR-004777"
"DCLA-000132"	"DTAR-005042"
"DCLA-000133"	"DTAR-005043"
"DCLA-000134"	"DTAR-005044"
"DCLA-000026"	"DTAR-005658"
"DCLA-000026"	"DTAR-005659"
"DCLA-000026"	"DTAR-005660"
"DCLA-000026"	"DTAR-005656"
"DCLA-000025"	"DTAR-005656"
"DCLA-000027"	"DTAR-005658"
"DCLA-000028"	"DTAR-005659"
"DCLA-000029"	"DTAR-005660"
"DCLA-000138"	"DTAR-005731"
"DCLA-000157"	"DTAR-007485"
"DCLA-000160"	"DTAR-007841"
"DCLA-000161"	"DTAR-007878"
"DCLA-000161"	"DTAR-007879"
"DCLA-000033"	"DTAR-008203"
"DCLA-000162"	
"DCLA-000010"	"DTAR-009459"
"DCLA-000011"	"DTAR-009459"
"DCLA-000001"	
"DCLA-000003"	"DTAR-010863"
"DCLA-000003"	"DTAR-010864"
"DCLA-000003"	"DTAR-010865"
"DCLA-000017"	"DTAR-004777"
"DCLA-000017"	"DTAR-005042"
"DCLA-000017"	"DTAR-005043"
"DCLA-000017"	"DTAR-005044"
"DCLA-000030"	"DTAR-005656"
"DCLA-000030"	"DTAR-005658"
"DCLA-000030"	"DTAR-005659"
"DCLA-000030"	"DTAR-005660"
"DCLA-000179"	"DTAR-011868"
"DCLA-000179"	"DTAR-011869"
"DCLA-000192"	"DTAR-013092"
"DCLA-000199"	"DTAR-000903"
"DCLA-000002"	"DTAR-013601"
"DCLA-000201"	"DTAR-013923"
"DCLA-000206"	"DTAR-015733"
"DCLA-000210"	"DTAR-016080"
"DCLA-000212"	"DTAR-016431"
"DCLA-000213"	"DTAR-016443"
"DCLA-000227"	
"DCLA-000018"	"DTAR-001634"
"DCLA-000019"	"DTAR-001634"
"DCLA-000137"	"DTAR-010780"
"DCLA-000015"	"DTAR-019237"
"DCLA-000163"	"DTAR-009179"
"DCLA-000164"	"DTAR-009180"
"DCLA-000165"	"DTAR-009182"
"DCLA-000166"	
"DCLA-000167"	
"DCLA-000014"	"DTAR-009179"
"DCLA-000014"	"DTAR-009180"
"DCLA-000014"	"DTAR-009181"
"DCLA-000014"	"DTAR-009182"
"DCLA-000014"	"DTAR-009183"
"DCLA-000014"	"DTAR-009184"
"DCLA-000016"	"DTAR-000903"
"DCLA-000016"	"DTAR-013347"
"DCLA-000016"	"DTAR-001634"
"DCLA-000176"	"DTAR-001305"
"DCLA-000249"	"DTAR-008163"
"DCLA-000175"	"DTAR-011700"
"DCLA-000175"	"DTAR-011701"
"DCLA-000148"	
"DCLA-000204"	
"DCLA-000222"	"DTAR-002598"
"DCLA-000042"	"DTAR-002495"
"DCLA-000237"	"DTAR-002553"
