"id"	"tradeName"	"ApplicationDocsURL@fda"	"ApplicationDocsDate@fda"
"DRPR-000047"	"Adcetris"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/125388s100lbl.pdf"	"2019-10-24"
"DRPR-000082"	"Alecensa"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/208434s012lbl.pdf"	"2021-09-10"
"DRPR-000223"	"Azactam"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/050580Orig1s046lbl.pdf"	"2021-04-19"
"DRPR-000241"	"Baraclude"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021797s023,021798s024lbl.pdf"	"2019-11-19"
"DRPR-000297"	"Blincyto"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125557s021lbl.pdf"	"2022-02-22"
"DRPR-000413"	"Cellcept"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050722s050,050723s050,050758s048,050759s055lbl.pdf"	"2022-08-11"
"DRPR-000751"	"Eliquis"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/202155s034lbl.pdf"	"2021-10-13"
"DRPR-000768"	"Empliciti"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761035s015lbl.pdf"	"2022-03-28"
"DRPR-000845"	"Evotaz"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/206353s007lbl.pdf"	"2020-08-03"
"DRPR-000960"	"Fuzeon"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021481s033lbl.pdf"	"2019-08-16"
"DRPR-001063"	"Hydrea"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/016295Orig1s055lbl.pdf"	"2021-09-13"
"DRPR-001245"	"Kyprolis"	"https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/202714s034lbl.pdf"	"2022-07-05"
"DRPR-001355"	"Lumakras"	"https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/214665s000lbl.pdf"	"2021-05-28"
"DRPR-001482"	"Mircera"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125164s086lbl.pdf"	"2022-08-31"
"DRPR-001628"	"Nulojix"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125288s101lbl.pdf"	"2021-07-29"
"DRPR-001678"	"Opdivo"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125554s114lbl.pdf"	"2022-07-15"
"DRPR-001679"	"Opdualag"	"https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761234s000lbl.pdf"	"2022-03-18"
"DRPR-001691"	"Orencia"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/125118s240lbl.pdf"	"2021-12-15"
"DRPR-001999"	"Reyataz"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021567s044,206352s008lbl.pdf"	"2020-09-25"
"DRPR-002138"	"Soliris"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125166s434lbl.pdf"	"2020-11-23"
"DRPR-002152"	"Sotyktu"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/214958s000lbl.pdf"	"2022-09-13"
"DRPR-002164"	"Sprycel"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021986s025lbl.pdf"	"2021-06-30"
"DRPR-002205"	"Sustiva"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020972s057,021360s045lbl.pdf"	"2019-10-30"
"DRPR-002241"	"Tamiflu"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021087s071,021246s054lbl.pdf"	"2019-08-05"
"DRPR-002445"	"Valcyte"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021304.s17_22257s12lbl.pdf"	"2021-12-27"
"DRPR-002583"	"Xeloda"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020896s043lbl.pdf"	"2021-05-20"
"DRPR-002610"	"Xospata"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/211349s003lbl.pdf"	"2022-01-13"
"DRPR-002613"	"Xtandi"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/203415s019,213674s006lbl.pdf"	"2022-09-13"
"DRPR-002622"	"Yervoy"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2022/125377s122lbl.pdf"	"2022-05-31"
"DRPR-002638"	"Zelboraf"	"http://www.accessdata.fda.gov/drugsatfda_docs/label/2020/202429s019lbl.pdf"	"2020-05-29"
