"id"	"newId"	"status"	"name"	"synonyms"	"id@ncit"	"def@ncit"
"DRUG-000187"		"ok"	"ALK Inhibitor ASP3026"	"ASP-3026#ASP3026"	"C116727"	"An orally available, small molecule inhibitor of the receptor tyrosine kinase anaplastic lymphoma kinase (ALK), with potential antineoplastic activity. Upon oral administration, ASP3026 binds to and inhibits ALK tyrosine kinase, ALK fusion proteins and ALK point mutation variants. Inhibition of ALK leads to the disruption of ALK-mediated signaling and the inhibition of cell growth in ALK-expressing tumor cells. ALK belongs to the insulin receptor superfamily and plays an important role in nervous system development. ALK is not expressed in healthy adult human tissue but ALK dysregulation and gene rearrangements are associated with a series of tumors. Additionally, ALK mutations are associated with acquired resistance to small molecule tyrosine kinase inhibitors."
"DRUG-000188"		"ok"	"ALK Inhibitor PLB 1003"	"PLB-1003#PLB 1003#PLB1003"	"C148533"	"An orally available small molecule inhibitor of the receptor tyrosine kinase anaplastic lymphoma kinase (ALK), with potential antineoplastic activity. Upon oral administration, PLB1003 selectively binds to and inhibits wild-type ALK, ALK fusion proteins and ALK point mutation variants. Inhibition of ALK leads to the disruption of ALK-mediated signaling and inhibits tumor cell growth in ALK-expressing tumor cells. ALK belongs to the insulin receptor superfamily and plays an important role in nervous system development. ALK is not expressed in healthy adult human tissue but ALK dysregulation and gene rearrangements are associated with a series of tumors. ALK mutations are associated with acquired resistance to small molecule tyrosine kinase inhibitors."
"DRUG-000190"		"ok"	"ALK Inhibitor TAE684"	"NPM-ALK Inhibitor TAE684#NVP-TAE684#TAE-684#TAE 684#TAE684"	"C171615"	"A small molecule inhibitor of the receptor tyrosine kinases (RTKs) anaplastic lymphoma kinase (ALK) and nucleophosmin-anaplastic lymphoma kinase (NPM-ALK), with potential antineoplastic activity. Upon administration, TAE684 binds to and inhibits ALK and NPM-ALK tyrosine kinases, which leads to a disruption of ALK- and NPM-ALK mediated signaling and eventually inhibits tumor cell growth in ALK- and NPM-ALK overexpressing tumor cells. ALK belongs to the insulin receptor superfamily and plays an important role in nervous system development. ALK dysregulation and gene rearrangements are associated with a series of tumors. NPM-ALK is an oncogenic fusion protein associated with ALK-positive anaplastic large cell lymphoma. ALK mutations are also associated with acquired resistance to small molecule tyrosine kinase inhibitors."
"DRUG-002863"		"ok"	"AMG 119"	"AMG-119#AMG 119#AMG 119 CAR-T Cells#AMG119#CAR-T Cells AMG 119"	"C150586"	"A preparation of T-lymphocytes that are genetically engineered to express a chimeric antigen receptor (CAR) that targets an as of yet unidentified tumor-associated antigen (TAA), with potential immunomodulatory and antineoplastic activities. Upon administration of the CAR T-cells AMG 119, the T-cells target, bind to and induce selective cytotoxicity in tumor cells expressing the TAA."
"DRUG-008411"		"ok"	"AMG 193"	"AMG-193#AMG 193#AMG193#Protein Arginine Methyltransferase 5 Inhibitor AMG 193"	"C185417"	"An orally available small molecule inhibitor of protein arginine methyltransferase 5 (PRMT5), with potential antiproliferative and antineoplastic activities. Upon oral administration, PRMT5 inhibitor AMG 193 selectively binds to PRMT5 and inhibits its function. By inhibiting its methyltransferase activity, levels of both monomethylated and dimethylated arginine residues in histones H2A, H3 and H4 are decreased. This modulates the expression of genes involved in several cellular processes, including cellular proliferation. This may increase the expression of antiproliferative genes and/or decrease the expression of genes that promote cell proliferation, which may lead to decreased growth of rapidly proliferating cells, including cancer cells. PRMT5, a type II methyltransferase that catalyzes the formation of both omega-N monomethylarginine (MMA) and symmetric dimethylarginine (sDMA) on histones and a variety of other protein substrates involved in signal transduction and cellular transcription, is overexpressed in several neoplasms. Elevated levels are associated with decreased patient survival. Methylthioadenosine phosphorylase (MTAP) is deleted in certain cancer cells leading to an accumulation of methylthioadenosine (MTA). As MTA inhibits PRMT5, MTAP-null cancer cells are specifically sensitive to PRMT5 inhibitors."
"DRUG-004561"		"ok"	"AMG 199"	"AMG 199#AMG199#Anti-MUC17 x Anti-CD3 BiTE AMG 199#Anti-MUC17/CD3 Bispecific Antibody AMG 199#Bispecific T-cell Engager Antibody AMG 199#BiTE Antibody AMG 199#MUC17/CD3-directed Bispecific T-cell Engager Antibody AMG 199#MUC17xCD3 Bispecific T-cell Engager AMG 199"	"C165588"	"A half-life extended (HLE), human bispecific T-cell engager (BiTE) antibody composed of two single-chain variable fragments (scFv), one directed against the tumor-associated antigen (TAA) human mucin 17 (MUC17), and one directed against human CD3, a T-cell surface antigen found on T-lymphocytes, with potential antineoplastic activity. Upon administration, anti-MUC17/CD3 BiTE antibody AMG 199 binds to both CD3 on T-cells and MUC17 expressed on tumor cells. This results in the cross-linking of T-cells and tumor cells, and induces a potent cytotoxic T-lymphocyte (CTL) response against MUC17-expressing tumor cells. MUC17, a member of the mucin family of glycoproteins, is overexpressed in a variety of tumor cells of epithelial origin and plays a key role in tumor cell dissemination."
"DRUG-017672"		"ok"	"AMG 337"	"AMG-337|AMG 337|AMG337"	"C95203"	"An orally bioavailable inhibitor of the proto-oncogene c-Met with potential antineoplastic activity. c-Met inhibitor AMG 337 selectively binds to c-Met, thereby disrupting c-Met signal transduction pathways. This may induce cell death in tumor cells overexpressing c-Met protein or expressing constitutively activated c-Met protein. c-Met protein, the product of the proto-oncogene c-Met, is a receptor tyrosine kinase also known as hepatocyte growth factor receptor (HGFR); this protein is overexpressed or mutated in many tumor cell types and plays key roles in tumor cell proliferation, survival, invasion, and metastasis, and tumor angiogenesis."
"DRUG-005246"		"ok"	"AMG 509"	"AMG-509#AMG 509#AMG509"	"C168580"	"A bispecific antibody that simultaneously binds to two different and as of yet undisclosed antigens, with potential immunomodulating and antineoplastic activities. Upon administration, AMG 509 targets and binds to the two antigens. This may modulate the tumor microenvironment (TME) and may enhance an immune-mediated antitumor response."
"DRUG-008045"		"ok"	"AMG 650"	"AMG-650#AMG 650#AMG650"	"C181039"	"An orally bioavailable, small-molecule inhibitor of the human kinesin-like protein KIF18A, with potential antineoplastic activity. Upon oral administration, KIF18A inhibitor AMG 650 selectively inhibits the activity of KIF18A. This may result in multipolar cell division and inhibit tumor cell proliferation. KIF18A, a mitotic kinesin-8 motor protein, plays an important role in the regulation of chromosome positioning during cell division and is overexpressed in certain cancers. Certain cancer cells with chromosomal instability (CIN) features depend on KIF18A activity for bipolar spindle integrity and cell proliferation."
"DRUG-000200"		"ok"	"AMG 910"	"AMG-910#AMG 910#AMG910#Bispecific Antibody AMG 910#Bispecific T-cell Engager AMG 910#Bispecific T-cell Engager Antibody AMG 910"	"C170815"	"A half-life extended (HLE), bispecific T-cell engager (BiTE) antibody that simultaneously binds to two different and as of yet undisclosed antigens, with potential immunomodulating and antineoplastic activities. Upon administration, AMG 910 targets and binds to the two antigens. This may modulate the tumor microenvironment (TME) and may enhance an immune-mediated antitumor response."
