"id"	"name"	"class"	"symbols_geneHgnc"	"comment"	"name_isoform"
"DTAR-000043"	"ABCB1"	"protein"	"ABCB1"		
"DTAR-000102"	"ABL1"	"protein"	"ABL1"		
"DTAR-000103"	"ABL2"	"protein"	"ABL2"		
"DTAR-000143"	"ACE"	"protein"	"ACE"		
"DTAR-000144"	"ACE2"	"protein"	"ACE2"		
"DTAR-000175"	"ACP3"	"protein"	"ACP3"		
"DTAR-000233"	"ACVR1"	"protein"	"ACVR1"		
"DTAR-000236"	"ACVR2A"	"protein"	"ACVR2A"		
"DTAR-000238"	"ACVRL1"	"protein"	"ACVRL1"		
"DTAR-000243"	"ADA"	"protein"	"ADA"		
"DTAR-000251"	"ADAM9"	"protein"	"ADAM9"		
"DTAR-000252"	"ADAM10"	"protein"	"ADAM10"		
"DTAR-000256"	"ADAM17"	"protein"	"ADAM17"		
"DTAR-000370"	"ADORA2A"	"protein"	"ADORA2A"		
"DTAR-000371"	"ADORA2B"	"protein"	"ADORA2B"		
"DTAR-000384"	"ADRB1"	"protein"	"ADRB1"		
"DTAR-000407"	"AFP"	"protein"	"AFP"		
"DTAR-000446"	"AGTR1"	"protein"	"AGTR1"		
"DTAR-000459"	"AHR"	"protein"	"AHR"		
"DTAR-000517"	"AKR1C3"	"protein"	"AKR1C3"		
"DTAR-000525"	"AKT1"	"protein"	"AKT1"		
"DTAR-000526"	"AKT1S1"	"protein"	"AKT1S1"		
"DTAR-000527"	"AKT2"	"protein"	"AKT2"		
"DTAR-000528"	"AKT3"	"protein"	"AKT3"		
"DTAR-000534"	"ALCAM"	"protein"	"ALCAM"		
"DTAR-000571"	"ALK"	"protein"	"ALK"		
"DTAR-000584"	"ALOX5"	"protein"	"ALOX5"		
"DTAR-000597"	"ALPP"	"protein"	"ALPP"		
"DTAR-000655"	"ANGPT1"	"protein"	"ANGPT1"		
"DTAR-000656"	"ANGPT2"	"protein"	"ANGPT2"		
"DTAR-000765"	"ANPEP"	"protein"	"ANPEP"		
"DTAR-000831"	"APCS"	"protein"	"APCS"		
"DTAR-000834"	"APEX1"	"protein"	"APEX1"		
"DTAR-000881"	"APP"	"protein"	"APP"		
"DTAR-000902"	"AR"	"protein"	"AR"		
"DTAR-000903"	"ARAF"	"protein"	"ARAF"		
"DTAR-001150"	"ASPH"	"protein"	"ASPH"		
"DTAR-001209"	"ATM"	"protein"	"ATM"		
"DTAR-001218"	"ATP1A3"	"protein"	"ATP1A3"		
"DTAR-001305"	"ATR"	"protein"	"ATR"		
"DTAR-001327"	"AURKA"	"protein"	"AURKA"		
"DTAR-001329"	"AURKB"	"protein"	"AURKB"		
"DTAR-001330"	"AURKC"	"protein"	"AURKC"		
"DTAR-001339"	"AVPR2"	"protein"	"AVPR2"		
"DTAR-001345"	"AXL"	"protein"	"AXL"		
"DTAR-001450"	"BCAP31"	"protein"	"BCAP31"		
"DTAR-001465"	"BCL2"	"protein"	"BCL2"		
"DTAR-001467"	"BCL2L1"	"protein"	"BCL2L1"		
"DTAR-001471"	"BCL2L12"	"protein"	"BCL2L12"		
"DTAR-001484"	"BCL11A"	"protein"	"BCL11A"		
"DTAR-001547"	"BIRC2"	"protein"	"BIRC2"		
"DTAR-001548"	"BIRC3"	"protein"	"BIRC3"		
"DTAR-001549"	"BIRC5"	"protein"	"BIRC5"		
"DTAR-001634"	"BRAF"	"protein"	"BRAF"		
"DTAR-001641"	"BRD2"	"protein"	"BRD2"		
"DTAR-001642"	"BRD3"	"protein"	"BRD3"		
"DTAR-001644"	"BRD4"	"protein"	"BRD4"		
