"id"	"linked__id"	"status"	"name"	"synonyms"	"usage"	"symbols_drugTarget"	"id@ncit"	"def@ncit"	"codes_atc"
"DRUG-007592"		"curated"	"A2A/A2B Adenosine Receptor Antagonist INCB106385"	"A2AR/A2BR Antagonist INCB106385#INCB 106385#INCB-106385#INCB106385"	"clinical"	"ADORA2A#ADORA2B"	"C178440"	"An orally bioavailable antagonist of both the immunomodulatory checkpoint molecules adenosine A2A receptor (A2AR; ADORA2A) and A2B receptor (A2BR; ADORA2B), with potential immunomodulating and antineoplastic activities. Upon oral administration, A2A/A2B adenosine receptor antagonist INCB106385 competes with tumor-released adenosine for binding to A2AR and A2BR expressed on numerous intra-tumoral immune cells, such as dendritic cells (DCs), natural killer (NK) cells, macrophages and T-lymphocytes. The binding of INCB106385 to A2AR and A2BR inhibits A2AR/A2BR activity and prevents adenosine-A2AR/A2BR-mediated signaling. A2AR/A2BR inhibition activates and enhances the proliferation of various immune cells, abrogates the adenosine-mediated immunosuppression in the tumor microenvironment (TME) and activates the immune system to exert anti-tumor immune responses against cancer cells, which leads to tumor cell killing. A2AR and A2BR, G protein-coupled signaling receptors, are expressed on the cell surfaces of numerous immune cells. Adenosine is often overproduced by tumor cells and plays a key role in immunosuppression and tumor cell proliferation."	
"DRUG-006435"		"curated"	"AB011"	"Anti-claudin18.2 Monoclonal Antibody AB011#AB 011#AB-011#AB011#Anti-CLDN18.2 Monoclonal Antibody AB011"	"clinical"	"CLDN18.2"	"C173724"	"A recombinant humanized monoclonal antibody directed against the tumor-associated antigen (TAA) Claudin18.2 (CLDN18.2; A2 isoform of claudin-18), with potential immunostimulating and antineoplastic activities. Upon administration, anti-claudin18.2 monoclonal antibody AB011 specifically targets, binds to and inhibits CLDN18.2 expressed on tumor cells. This may kill CLDN18.2-expressing tumor cells and inhibit cell proliferation. CLDN18.2, a tight junction protein and stomach-specific isoform of claudin-18, is expressed on a variety of tumor cells, but its expression in healthy tissues is strictly confined to short-lived differentiated epithelial cells of the gastric mucosa."	
"DRUG-000240"		"curated"	"ADCT-502"	"ADC ADCT-502#ADCT 502#ADCT-502#ADCT502#Anti-HER2/PBD ADC ADCT 502#Trastuzumab/Tesirine Antibody-drug Conjugate ADCT-502"	"clinical - deprecated"	"ERBB2"	"C139800"	"An antibody-drug conjugate (ADC) consisting of an engineered version of the humanized monoclonal anti-human epidermal growth factor receptor 2 (HER2) immunoglobulin G1 (IgG1) trastuzumab that is site-specifically conjugated, via a cleavable linker, to the cytotoxic, DNA cross-linking pyrrolobenzodiazepine (PBD) dimer-based drug tesirine, which targets DNA minor grooves, with potential antineoplastic activity. Upon administration, the trastuzumab moiety of trastuzumab/tesirine ADC ADCT-502 targets the cell surface antigen HER2, which is expressed on various cancer cells. Upon antibody/antigen binding, internalization of the ADC and cleavage of the linker, the cytotoxic PBD moiety is released. The imine groups of tesirine bind to the N2 positions of guanines on opposite strands of DNA. This induces interstrand cross-links in the minor groove of DNA, inhibits DNA replication, leads to G2/M cell cycle arrest, induces cell death and inhibits the proliferation of HER2-overexpressing tumor cells. The tumor-associated antigen (TAA) HER2 is expressed by various solid tumors and is associated with a poor prognosis."	
"DRUG-000612"		"curated"	"AGS-16C3F"	"Anti-ENPP3 Antibody-Drug Conjugate AGS-16C3F#ADC AGS-16C3F#AGS-16C3F"	"clinical"	"ENPP3"	"C102980"	"An antibody-drug conjugate (ADC) containing a fully human monoclonal antibody (AGS-16C) directed to the ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (ENPP3), conjugated via a non-cleavable linker to monomethyl auristatin F (MMAF), an auristatin derivative and a potent microtubule inhibitor, that has potential antineoplastic activity. Upon intravenous administration of ADC AGS-16C3F, the monoclonal antibody moiety of this conjugate selectively binds to ENPP3 then is internalized and undergoes proteolytic cleavage to release MMAF. MMAF binds to and inhibits tubulin polymerization, resulting in G2/M phase arrest and tumor cell apoptosis. While normally expressed at low levels in the proximal tubules of the kidney, the type II transmembrane glycoprotein ENPP3 has been found to be overexpressed in renal neoplasms."	
"DRUG-001133"		"curated"	"AGS-16M8F"	"Anti-ENPP3/MMAF Antibody-Drug Conjugate AGS-16M8F#AGS-16M8F"	"clinical"	"ENPP3"	"C116626"	"An antibody-drug conjugate (ADC) containing a human immunoglobulin (Ig) G2k monoclonal antibody (AGS-16C) directed against the ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (ENPP3, NPP3, B10, PDNP3 CD203c, or PD-IBETA ), conjugated, via the non-cleavable maleimidocaproyl (mc) linker, to monomethyl auristatin F (MMAF), an auristatin derivative and a potent microtubule inhibitor, with potential antineoplastic activity. Upon intravenous administration of anti-ENPP3/MMAF ADC AGS-16M8F, the monoclonal antibody moiety selectively binds to ENPP3 expressed on tumor cells; upon internalization, the ADC is degraded by lysosomal proteases and MMAF is released. In turn, MMAF binds to and inhibits tubulin polymerization, which results in G2/M phase arrest and tumor cell apoptosis. While normally expressed at low levels in the proximal tubules of the kidney, the type II transmembrane glycoprotein ENPP3 is overexpressed in most renal neoplasms and some liver cancers."	
"DRUG-002040"		"curated"	"AGS62P1"	"Anti-FLT3 Antibody-drug Conjugate AGS62P1#ADC AGS62P1#AGS62P1"	"clinical"	"FLT3"	"C129937"	"An antibody-drug conjugate (ADC) composed of a human monoclonal antibody directed against the extracellular domain of receptor-type tyrosine-protein kinase FLT3 (FLT-3; FMS-like tyrosine kinase 3; CD135; fetal-liver kinase 2; FLK2) and conjugated, via an oxime linker and the site-directed non-natural amino acid linker para-acetyl-phenylalanine (pAcF), to a microtubule-disrupting cytotoxic agent, with potential antineoplastic activity. Upon administration of ADC AGS62P1, the antibody moiety targets and binds to FLT3. Upon antibody/antigen binding and internalization, the microtubule-targeting agent binds to and inhibits tubulin polymerization, which results in G2/M phase arrest and tumor cell apoptosis. The site-specific conjugation of the cytotoxic agent to the antibody, through pAcF, improves the biophysical properties of AGS62P1, increases payload distribution and stability, and optimizes its efficacy. FLT3, a class III tyrosine kinase receptor, is overexpressed or mutated in most B lineage, acute lymphoblastic leukemias and acute myeloid leukemias."	
"DRUG-001369"		"curated"	"AGS67E"	"Anti-CD37 MMAE Antibody-drug Conjugate AGS67E#AGS67E#Anti-CD37 MMAE ADC AGS67E"	"clinical"	"CD37"	"C119700"	"An antibody-drug conjugate (ADC) composed of AGS67C, a human anti-CD37 monoclonal antibody covalently linked, via reduced cysteines and a protease cleavable linker, to monomethyl auristatin E (MMAE), an auristatin derivative and a potent microtubule disrupting agent, with potential antineoplastic activity. Upon administration, the monoclonal antibody moiety of AGS67E binds to CD37 antigens on tumor B-cells and is rapidly internalized, thereby delivering MMAE intracellularly. Upon proteolytic cleavage, MMAE binds to tubulin and inhibits its polymerization, resulting in G2/M checkpoint arrest and apoptosis in CD37-expressing tumor cells. CD37, a transmembrane glycoprotein, is overexpressed in B-cell malignancies."	
"DRUG-000187"		"curated"	"ALK Inhibitor ASP3026"	"ASP-3026#ASP3026"	"clinical"	"ALK"	"C116727"	"An orally available, small molecule inhibitor of the receptor tyrosine kinase anaplastic lymphoma kinase (ALK), with potential antineoplastic activity. Upon oral administration, ASP3026 binds to and inhibits ALK tyrosine kinase, ALK fusion proteins and ALK point mutation variants. Inhibition of ALK leads to the disruption of ALK-mediated signaling and the inhibition of cell growth in ALK-expressing tumor cells. ALK belongs to the insulin receptor superfamily and plays an important role in nervous system development. ALK is not expressed in healthy adult human tissue but ALK dysregulation and gene rearrangements are associated with a series of tumors. Additionally, ALK mutations are associated with acquired resistance to small molecule tyrosine kinase inhibitors."	
"DRUG-000188"		"curated"	"ALK Inhibitor PLB 1003"	"PLB 1003#PLB-1003#PLB1003"	"clinical"		"C148533"	"An orally available small molecule inhibitor of the receptor tyrosine kinase anaplastic lymphoma kinase (ALK), with potential antineoplastic activity. Upon oral administration, PLB1003 selectively binds to and inhibits wild-type ALK, ALK fusion proteins and ALK point mutation variants. Inhibition of ALK leads to the disruption of ALK-mediated signaling and inhibits tumor cell growth in ALK-expressing tumor cells. ALK belongs to the insulin receptor superfamily and plays an important role in nervous system development. ALK is not expressed in healthy adult human tissue but ALK dysregulation and gene rearrangements are associated with a series of tumors. ALK mutations are associated with acquired resistance to small molecule tyrosine kinase inhibitors."	
"DRUG-000190"		"curated"	"ALK Inhibitor TAE684"	"NPM-ALK Inhibitor TAE684#NVP-TAE684#TAE 684#TAE-684#TAE684"	"clinical"		"C171615"	"A small molecule inhibitor of the receptor tyrosine kinases (RTKs) anaplastic lymphoma kinase (ALK) and nucleophosmin-anaplastic lymphoma kinase (NPM-ALK), with potential antineoplastic activity. Upon administration, TAE684 binds to and inhibits ALK and NPM-ALK tyrosine kinases, which leads to a disruption of ALK- and NPM-ALK mediated signaling and eventually inhibits tumor cell growth in ALK- and NPM-ALK overexpressing tumor cells. ALK belongs to the insulin receptor superfamily and plays an important role in nervous system development. ALK dysregulation and gene rearrangements are associated with a series of tumors. NPM-ALK is an oncogenic fusion protein associated with ALK-positive anaplastic large cell lymphoma. ALK mutations are also associated with acquired resistance to small molecule tyrosine kinase inhibitors."	
